Origin,Region,Typical Roast,Flavor Notes,Body
Ethiopia,Yirgacheffe,Light,Blueberry, jasmine, floral,Light
Colombia,Huila,Medium,Nutty, caramel, chocolate,Medium
Brazil,Sul de Minas,Medium-Dark,Chocolate, peanut, low acidity,Full
Guatemala,Antigua,Medium,Cocoa, spice, orange,Medium
Costa Rica,Tarrazú,Medium-Light,Citrus, honey, clean,Medium
Kenya,Nyeri,Light-Medium,Blackcurrant, tomato, wine,Light-Medium
Sumatra,Indonesia,Dark,Herbal, earthy, dark chocolate,Full
Ethiopia,Sidamo,Light-Medium,Berry, wine, stone fruit,Light
Colombia,Nariño,Medium,Apple, caramel, bright acidity,Medium
Honduras,Copan,Medium,Chocolate, tropical fruit, balanced,Medium
